주소,이름,위도,경도,세부분류
서울특별시 성북구 대사관로3길 41,변종하미술관,37.5974999,126.9864389,미술관
서울특별시 종로구 소격동 76,빛갤러리,37.5800697,126.9803914,미술관
서울 용산구 한남동 747-18,삼성미술관 Leeum,37.5386475,126.9988509,미술관
서울 중구 덕수궁길 61 서울시립미술관,서울시립미술관,37.5642629,126.9746757,미술관
서울특별시 종로구 평창동 평창31길 11,(주)서울옥션,37.6113946,126.975763,미술관
서울특별시 종로구 율곡로 20,서하갤러리,37.5748172,127.004342,미술관
서울특별시 용산구 한남동 1-125,갤러리서화,37.5373907,127.0131055,미술관
서울특별시 종로구 팔판동 삼청로 75-1,선아트스페이스,37.5828906,126.980733,미술관
서울 종로구 인사동길 47,섭갤러리,37.5742805,126.9841484,미술관
서울특별시 종로구 동숭동 1-135,세미화랑,37.5806806,127.0034963,미술관
서울특별시 종로구 가회동 1-42,갤러리소나무,37.5838354,126.9849176,미술관
서울특별시 송파구 오륜동 올림픽로 424,SOMA 소마미술관,37.5206868,127.1214941,미술관
서울특별시 강남구 청담동 31-22,갤러리더스페이스,37.5207972,127.0484703,미술관
서울특별시 마포구 상암동 하늘공원로 108-1,난지미술창작스튜디오,37.5674467,126.885455,미술관
서울특별시 종로구 평창30길 88,시율재갤러리,37.6116095,126.9708444,미술관
서울특별시 강남구 삼성2동 115-14,THINKTHINK어린이미술관,37.510819,127.0507121,미술관
서울특별시 종로구 관훈동 192-6,아리수아트타운,37.5737263,126.9840269,미술관
서울특별시 종로구 통의동 33,아트사이드갤러리,37.5782204,126.9728574,미술관
서울특별시 강남구 도곡동 174-3,두산건설아트스퀘어,37.487413,127.0469885,미술관
서울특별시 마포구 상암동 6-2 번지 누리꿈스퀘어 601동 04호,아트앤에셋,37.579396,126.8897942,미술관
서울특별시 종로구 팔판동 삼청로7길 25,ARTPARK,37.5837209,126.9804107,미술관
서울특별시 종로구 삼청동 삼청로 24-1,아프리카미술관,37.5779817,126.9799319,미술관
서울특별시 용산구 이태원2동 258 195 어반아트,어반아트,37.5424192,126.992733,미술관
서울특별시 종로구 팔판길 23,갤러리에이엠,37.5828314,126.9810195,미술관
서울특별시 영등포구 여의도동 의사당대로 88,IBK기업은행 IT사료실,37.522053,126.922277,박물관
서울특별시 종로구 혜화동 성균관로4길 47,짚풀생활사박물관,37.5848455,127.0000203,박물관
서울특별시 성동구 마장동 청계천로 530,청계천박물관,37.5712267,127.0350281,박물관
서울특별시 종로구 우정국로 59 (견지동),체신기념관,37.5731139,126.9827028,박물관
서울특별시 종로구 관훈동 인사동길 41-1 인사아트센터 지하 1층,토이키노,37.5738194,126.9845894,박물관
서울특별시 종로구 누상동 166-107,티베트 박물관,37.5816446,126.9650561,박물관
서울특별시 구로구 오류2동 오류로8라길 44,평강성서유물박물관,37.4919061,126.8440418,박물관
서울특별시 성북구 성북동 대사관로 121,한국가구박물관,37.6001521,126.9934261,박물관
서울특별시 마포구 상암동 월드컵북로 400,한국영화박물관,37.5804334,126.8894764,박물관
서울특별시 중구 남대문로5가 39,한국은행 화폐박물관,37.5625739,126.9787681,박물관
서울특별시 송파구 오륜동 위례성대로 71,한성백제박물관,37.5152456,127.1206369,박물관
서울특별시 강서구 가양동 허준로 87,허준박물관,37.5679303,126.8512999,박물관
서울특별시 관악구 신림동 남부순환로152길 53,호림박물관 신림본관,37.4806808,126.9186226,박물관
서울특별시 종로구 평창동 평창8길 3,화정박물관,37.6045606,126.9659822,박물관
서울특별시 종로구 청운효자동 필운대로7길 12,갤러리룩스,37.5815528,126.967847,미술관
서울특별시 종로구 삼청동 삼청로7길 40-14,PKM갤러리,37.5843611,126.9799411,미술관
서울특별시 종로구 삼청로 30,UUL국립서울미술관,37.5794412,126.9803508,미술관
서울특별시 종로구 평창동 97,가나아트센터,37.6121544,126.9751681,미술관
서울특별시 종로구 효자동 자하문로 74,가진화랑,37.5824857,126.9708696,미술관
서울특별시 성북구 성북동 성북로 102-11,간송미술관,37.5942972,126.9967062,미술관
서울특별시 중구 덕수궁길 61 서울시립미술관,강북시립미술관,37.5642629,126.9746757,미술관
서울특별시 종로구 삼일대로 461 101동 B-107호 운현궁 sk허브,갤러리고도,37.5757217,126.9855621,미술관
서울특별시 강남구 선릉로153길 24 (신사동),갤러리나요,37.5247927,127.0375033,미술관
서울특별시 종로구 팔판동 삼청로7길 37,갤러리 도스,37.5837135,126.9797632,미술관
서울특별시 종로구 평창동 평창30길 40,갤러리 세줄,37.6133714,126.9751355,미술관
서울특별시 종로구 팔판길 42 (삼청동),갤러리 수,37.5835855,126.9814236,미술관
서울특별시 종로구 통의동 35-9,갤러리시몬,37.5780435,126.9732391,미술관
서울특별시 종로구 재동 38-1,갤러리에뽀끄,37.5787792,126.9848561,미술관
서울특별시 강남구 청담동 101-5,갤러리원,37.5274783,127.0458873,미술관
서울특별시 강남구 신사동 586-7,유로갤러리,37.520597,127.0276598,미술관
서울특별시 강남구 청담동 도산대로87길 25,갤러리 피치,37.5263367,127.0501422,미술관
서울특별시 종로구 삼청동 63-28,갤러리피프틴,37.5833989,126.9819436,미술관
서울특별시 종로구 삼청동 삼청로 14,갤러리현대,37.577203,126.9799131,미술관
서울특별시 강남구 신사동 640-6,갤러리현대사간동지점,37.5276449,127.0357753,미술관
서울특별시 강서구 가양1동 양천로47길 36,겸재정선미술관,37.5721747,126.8383772,미술관
서울특별시 종로구 관훈동 57-1,경인미술관,37.5744764,126.985339,미술관
서울특별시 종로구 소격동 삼청로 54,국제갤러리,37.5807256,126.9804343,미술관
서울특별시 종로구 평창36길 20,영재교육미술관,37.6126247,126.9781802,미술관
서울특별시 강남구 대치4동 931-25,예원화랑,37.5002983,127.0597211,미술관
서울특별시 종로구 인사동 194-4,예인갤러리,37.5720602,126.9853831,미술관
서울특별시 강남구 신사동 압구정로12길 18,예화랑,37.5228397,127.0222016,미술관
서울특별시 강남구 청담동 101-6,유아트스페이스,37.5273401,127.0458472,미술관
서울특별시 종로구 가회동 1-71,이목화랑,37.5851516,126.9854149,미술관
서울특별시 종로구 관훈동 인사동길 52-1,갤러리이즈 Galleryis,37.5739965,126.9848994,미술관
서울특별시 종로구 원서동 90,인사미술공간,37.5814971,126.9892109,미술관
